movieId,title,genres

1,Toy Story (1995),Adventure|Fantasy|Animation|Comedy|Children|

98304,So Big! (1932),Drama|

2,Jumanji (1995),Adventure|Fantasy|Children|

3,Grumpier Old Men (1995),Romance|Comedy|

4,Waiting to Exhale (1995),Drama|Romance|Comedy|

5,Father of the Bride Part II (1995),Comedy|

6,Heat (1995),Action|Thriller|Crime|

7,Sabrina (1995),Romance|Comedy|

8,Tom and Huck (1995),Adventure|Children|

9,Sudden Death (1995),Action|

32777,Major Barbara (1941),Comedy|

10,GoldenEye (1995),Action|Adventure|Thriller|

11,American President, The (1995),Drama|Romance|Comedy|

12,Dracula: Dead and Loving It (1995),Horror|Comedy|

13,Balto (1995),Adventure|Animation|Children|

32781,Hawaii (1966),Drama|

81932,Fighter, The (2010),Drama|

114700,Tribe, The (Plemya) (2014),Drama|Crime|

14,Nixon (1995),Drama|

15,Cutthroat Island (1995),Action|Adventure|Romance|

32783,Pretty Maids All in a Row (1971),Thriller|Crime|Comedy|

16,Casino (1995),Drama|Crime|

17,Sense and Sensibility (1995),Drama|Romance|

65552,Replicant (2001),Action|Sci-Fi|Thriller|

18,Four Rooms (1995),Comedy|

114707,Horns (2014),Horror|Mystery|

19,Ace Ventura: When Nature Calls (1995),Comedy|

20,Money Train (1995),Action|Drama|Thriller|Crime|Comedy|

21,Get Shorty (1995),Thriller|Crime|Comedy|

22,Copycat (1995),Drama|Horror|Thriller|Crime|Mystery|

23,Assassins (1995),Action|Thriller|Crime|

24,Powder (1995),Sci-Fi|Drama|

114713,Annabelle (2014),Horror|

25,Leaving Las Vegas (1995),Drama|Romance|

26,Othello (1995),Drama|

27,Now and Then (1995),Drama|Children|

28,Persuasion (1995),Drama|Romance|

81949,Romantics, The (2010),Drama|Romance|Comedy|

29,City of Lost Children, The (Cité des enfants perdus, La) (1995),Sci-Fi|Adventure|Drama|Fantasy|Mystery|

30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama|Crime|

65567,Passengers (2008),Drama|Thriller|Mystery|

31,Dangerous Minds (1995),Drama|

